TF	Target	Corr
Fosl1	Tpbg	1
Fosl1	Tuba4a	1
Fosl1	Srxn1	1
Fosl1	Cd44	1
Fosl1	Cd109	1
Fosl1	Tnfrsf23	1
Fosl1	Ywhag	1
Fosl1	Blmh	1
Fosl1	Cpa6	1
Fosl1	Gm14137	1
Fosl1	Hspa5	1
Fosl1	Apbb2	1
Fosl1	Arhgap23	1
Fosl1	Clic1	1
Fosl1	Col12a1	1
Fosl1	Mfsd11	1
Fosl1	Pla2g2e	1
Fosl1	Mbnl1	1
Fosl1	Camta1	1
Fosl1	Kcnk10	1
Fosl1	Gm14005	1
Fosl1	Prkar2a	1
Fosl1	Plod3	1
Fosl1	Dgkg	1
Fosl1	Sox9	1
Fosl1	Rarg	1
Fosl1	Efemp2	1
Fosl1	Inf2	1
Fosl1	Lpin3	1
Fosl1	Nuak1	1
Fosl1	Rbfox2	1
Fosl1	Csf1	1
Fosl1	Sprr1a	1
Fosl1	F3	1
Fosl1	Ergic1	1
Fosl1	Lrrfip2	1
Fosl1	Mapk10	1
Fosl1	Pfdn4	1
Fosl1	Cxcl5	1
Fosl1	Sertad1	1
Fosl1	Eftud2	1
Fosl1	Tpd52l2	1
Fosl1	Mapk8	1
Fosl1	Fscn1	1
Fosl1	Ctps2	1
Fosl1	Bdnf	1
Thap11	Cfdp1	1
Thap11	Psma2	1
Thap11	Fam53c	1
Thap11	Zdhhc16	1
Thap11	Nob1	1
Thap11	Gtf3c5	1
Thap11	Prmt5	1
Thap11	Psmg1	1
Thap11	Nutf2	1
Thap11	Eif3c	1
